Timestamp,Spotter,To_Station,Frequency_MHz
2026-03-28T22:42:26.441688+00:00,CE2WAP,CW4C,28520.0
2026-03-28T22:42:27.446745+00:00,PY1CD,KP2M,28580.1
2026-03-28T22:42:32.925181+00:00,S53F,4L5O,3800.0
2026-03-28T22:42:40.371769+00:00,W0CGC,CR6T,21369.6
2026-03-28T22:42:45.182086+00:00,NE1C-7,PY2WB,28382.0
2026-03-28T22:42:47.389408+00:00,I2WIJ,IP2A,14264.6
2026-03-28T22:42:48.066251+00:00,S50SL,S56B,1887.2
2026-03-28T22:42:54.625388+00:00,N5GI,ZP5DNB,28392.5
2026-03-28T22:42:55.053183+00:00,PU5IKE,HK1T,28612.0
2026-03-28T22:42:58.034243+00:00,S53F,YL3FT,3797.6
2026-03-28T22:42:58.681901+00:00,W0XM,LU3DK,28556.0
2026-03-28T22:42:59.040597+00:00,VE7SAR,II4M,14220.0
2026-03-28T22:42:59.837704+00:00,K7AKT,KL5DX,21392.0
2026-03-28T22:43:01.532732+00:00,N8WCP,LT5H,28470.5
2026-03-28T22:43:11.146167+00:00,VA3LR,ED7O,14308.5
2026-03-28T22:43:12.697299+00:00,AF0F,VP2M,21348.0
2026-03-28T22:43:13.804560+00:00,VE9VIC,WG4FOC,14025.7
2026-03-28T22:43:14.050409+00:00,SO5CAL,SP9XCN,3611.6
2026-03-28T22:43:14.243090+00:00,N2PTF,NY6DX,7197.6
2026-03-28T22:43:16.338436+00:00,6K2GKG,DY1T,28515.0
2026-03-28T22:43:20.046827+00:00,NE1C-7,NE1C,7189.0
2026-03-28T22:43:24.044217+00:00,RC7KY,WX3B,7132.2
2026-03-28T22:43:28.248211+00:00,K4PUF,SO9I,7140.0
2026-03-28T22:43:28.427716+00:00,EA4EF,ES9C,7148.0
2026-03-28T22:44:38.369381+00:00,W9KEY,PZ5TW,21403.0
2026-03-28T22:44:39.891683+00:00,WD0AJG,N0ANE,14067.5
2026-03-28T22:44:43.814303+00:00,K4MI,ED5O,14315.1
2026-03-28T22:44:45.688509+00:00,E76WO,E73RB,3712.0
2026-03-28T22:44:49.726298+00:00,2I0WMN,II8K,14216.2
2026-03-28T22:44:50.953106+00:00,DL2RMC,SP8R,1883.6
2026-03-28T22:44:53.433691+00:00,PP5KP,TO7O,14118.0
2026-03-28T22:44:58.033531+00:00,DK1IP,EW7TM,3656.0
2026-03-28T22:45:02.992235+00:00,S53F,EU2EU,3793.1
2026-03-28T22:45:03.894917+00:00,BH3CFN,VJ2T,28426.5
2026-03-28T22:45:07.286229+00:00,PE1EWR,LY5W,7095.3
2026-03-28T22:45:08.528062+00:00,KV0I,CX5A,21307.0
2026-03-28T22:45:09.720781+00:00,LU1EEP,G0ANS,14080.0
2026-03-28T22:45:09.964128+00:00,PY2OKB,DF7A,21301.3
2026-03-28T22:45:12.864320+00:00,N4WW,BY5HB,21337.2
2026-03-28T22:45:15.520776+00:00,N5GI,LT5H,28470.5
2026-03-28T22:45:25.883637+00:00,W9KEY,D4C,21407.5
2026-03-28T22:45:28.392610+00:00,PU5IKE,P43L,28570.0
2026-03-28T22:45:32.028047+00:00,DK1IP,YU5R,3652.9
2026-03-28T22:45:34.272119+00:00,CT1BXT,V47T,14268.5
2026-03-28T22:45:35.725052+00:00,M0UHF,E79C,7148.0
2026-03-28T22:45:36.252940+00:00,FG/F5HRY,TM5C,14330.0
2026-03-28T22:45:37.831608+00:00,AC5XK-1,OT2A,7153.8
2026-03-28T22:45:38.455586+00:00,RW7K,UA7K,1889.0
2026-03-28T22:45:39.116899+00:00,PY5JR,KP2M,28580.1
2026-03-28T22:45:41.807443+00:00,S53F,LZ25W,3790.0
2026-03-28T22:45:42.499195+00:00,N0GJW,WV4P,21330.5
2026-03-28T22:45:47.144146+00:00,PE1EWR,S54K,7098.5
2026-03-28T22:45:56.045139+00:00,EA1FW,LU3WC,14299.0
2026-03-28T22:46:09.483614+00:00,DL4YAO,E7DX,14287.0
2026-03-28T22:46:10.788566+00:00,S53F,OL6N,3787.0
2026-03-28T22:46:11.930565+00:00,K6MTU,NX5M,28462.5
2026-03-28T22:46:15.353958+00:00,E76WO,GX7C,3710.7
2026-03-28T22:46:19.749444+00:00,IT9BGE,ES9C,7148.0
2026-03-28T22:46:20.187349+00:00,KD3CCN,D4K,28427.7
2026-03-28T22:46:25.697236+00:00,DL2RMC,S56X,1852.2
2026-03-28T22:46:28.466372+00:00,MM0KLQ,LY5W,7095.3
2026-03-28T22:46:29.716442+00:00,EC6DX,E74A,7119.0
2026-03-28T22:46:29.976934+00:00,DK1IP,DL6RY,3649.7
2026-03-28T22:46:30.859653+00:00,AC5XK-1,K1LZ,7148.8
2026-03-28T22:46:32.452611+00:00,W5MX,TI7W,21289.4
2026-03-28T22:46:35.500973+00:00,N3FCP,PJ7AA,21345.5
2026-03-28T22:46:36.935393+00:00,M9VXR,LY4A,7183.0
2026-03-28T22:46:38.609707+00:00,S53F,ES9C,3784.0
2026-03-28T22:46:41.502064+00:00,SO5CAL,SO5D,3743.5
2026-03-28T22:46:43.610681+00:00,DU3T,WC6H,21219.6
2026-03-28T22:46:45.202177+00:00,OL7K,HA3KZ,3614.6
2026-03-28T22:46:48.198353+00:00,ON4DS,OR7K,1856.0
2026-03-28T22:46:52.252462+00:00,CV6T,CX5A,21307.0
2026-03-28T22:46:54.268489+00:00,W0XM,KP2M,28580.1
2026-03-28T22:46:54.774023+00:00,DK1IP,LY7Z,3643.7
2026-03-28T22:46:55.141528+00:00,K9LC,LO7H,28377.2
2026-03-28T22:47:05.831125+00:00,WM7C,N8OO,28406.3
2026-03-28T22:47:07.787078+00:00,AF0F,P49Y,21396.4
2026-03-28T22:47:09.607922+00:00,KI5GTR,KI5GTR,28530.5
2026-03-28T22:47:10.871440+00:00,BH3FGY,BI1TMQ,21335.0
2026-03-28T22:47:12.958855+00:00,KB3VQC,CG3T,14156.4
2026-03-28T22:47:13.961620+00:00,K9EE-5,BY5HB,21337.0
2026-03-28T22:47:18.007702+00:00,KN4UOW,VK9DX,28512.1
2026-03-28T22:47:18.202885+00:00,AC5XK-1,S51CK,7141.2
2026-03-28T22:47:19.150479+00:00,DK1IP,SN3G,3641.0
2026-03-28T22:47:19.741239+00:00,S53F,9A6A,3781.5
2026-03-28T22:47:20.759569+00:00,N5GI,II8K,14216.2
2026-03-28T22:47:23.723225+00:00,W7XE-11,PW2K,28360.0
2026-03-28T22:47:27.470346+00:00,PY2PLL,N7XCZ,28473.5
2026-03-28T22:47:35.615199+00:00,OE8KGK,OE1KDK,7123.0
2026-03-28T22:47:47.364911+00:00,S57UN,CR3A,14347.1
2026-03-28T22:47:51.864516+00:00,AC5XK-1,WX3B,7132.2
2026-03-28T22:47:53.600960+00:00,DK1IP,SP3LM,3638.5
2026-03-28T22:47:57.204812+00:00,K5PAR,PZ5TW,21403.0
2026-03-28T22:48:01.000645+00:00,E76WO,5Q2J,3707.5
2026-03-28T22:48:01.186679+00:00,K9CT,PY5FO,28605.1
2026-03-28T22:48:04.175227+00:00,S53F,GM2T,3779.0
2026-03-28T22:48:07.190207+00:00,N3QE,E7DX/QRP,14287.0
2026-03-28T22:48:08.011588+00:00,I2WIJ,K1AR,14273.0
2026-03-28T22:48:08.457006+00:00,K1AJT,PV2P,21292.0
2026-03-28T22:48:10.017392+00:00,N8WCP,HD8R,28448.3
2026-03-28T22:48:20.502126+00:00,DK1IP,OK2J,3635.9
2026-03-28T22:48:25.299011+00:00,DU3T,KZ1W,21251.8
2026-03-28T22:48:25.584193+00:00,6K2GKG,LP1H,28590.0
2026-03-28T22:48:26.202965+00:00,K7AKT,V26K,21400.6
2026-03-28T22:48:27.504201+00:00,KI5UWK,D4K,28427.0
2026-03-28T22:48:29.299412+00:00,KB3VQC,AA3R,14160.3
2026-03-28T22:48:30.763668+00:00,S53F,DR1A,3777.7
2026-03-28T22:48:31.334173+00:00,W9KEY,3G3W,21238.0
2026-03-28T22:48:31.545882+00:00,M0UHF,LY7J,7138.1
2026-03-28T22:48:38.654212+00:00,W4LES,W3NH/B,50059.0
2026-03-28T22:48:39.036854+00:00,RM3DA,TC1A,7152.1
2026-03-28T22:48:46.231074+00:00,WM7C,KK5TY,28525.5
2026-03-28T22:48:50.997834+00:00,KL5NE,YC9FAR,21295.0
2026-03-28T22:48:55.203760+00:00,W7ZKI,W7ASU,21446.0
2026-03-28T22:48:57.541936+00:00,N5GI,BY5HB,21337.0
2026-03-28T22:48:58.457505+00:00,PE1EWR,I2OLV,7107.4
2026-03-28T22:49:00.160662+00:00,KI5WTR,TM5C,14330.0
2026-03-28T22:49:01.840070+00:00,N2LQH,C4E,14252.0
2026-03-28T22:49:02.971188+00:00,WB5SKM,CX1AR,28583.0
2026-03-28T22:49:07.431209+00:00,DK1IP,UX0KR,3632.5
2026-03-28T22:49:07.704371+00:00,K5PAR,K1AR,14273.0
2026-03-28T22:49:07.963909+00:00,W9KEY,NE4C,21254.5
2026-03-28T22:49:08.420474+00:00,PT1M,LS2D,28311.9
2026-03-28T22:49:09.724778+00:00,KD3CCN,HQ9UM,21277.0
2026-03-28T22:49:10.937460+00:00,KE6QEY,BY5HB,21337.0
2026-03-28T22:49:15.484111+00:00,KB3VQC,9A2M,14163.0
2026-03-28T22:49:16.230087+00:00,N4XL,4U1WB,14327.2
2026-03-28T22:49:16.457062+00:00,M9INN,ME7Q,3795.4
2026-03-28T22:49:19.471748+00:00,S57C,DL3ALI,3673.4
2026-03-28T22:49:20.321948+00:00,DL1BUG,TY5FR,14179.0
2026-03-28T22:49:26.714507+00:00,W7XE-11,LO7H,28377.1
2026-03-28T22:49:29.172701+00:00,RM3DA,SZ40A,7145.2
2026-03-28T22:49:31.380987+00:00,DU3T,PW2F,21257.0
2026-03-28T22:49:35.095759+00:00,N4CF,NE1C,7189.0
2026-03-28T22:49:35.944415+00:00,EA1FW,KM3P,14336.0
2026-03-28T22:49:36.135089+00:00,K7AKT,D4C,21407.5
2026-03-28T22:49:45.713297+00:00,K1AJT,TI7W,21289.4
2026-03-28T22:49:53.855439+00:00,N4XL,TM18Z,14335.6
2026-03-28T22:49:56.407042+00:00,XE2W,XE2W,21247.0
2026-03-28T22:49:56.922849+00:00,N4WW,VP2M,21347.8
2026-03-28T22:49:57.837152+00:00,PE1EWR,SP7AS,7110.9
2026-03-28T22:49:59.411286+00:00,S53F,OK1K,1876.7
2026-03-28T22:50:00.895845+00:00,FM8QR,FM8QR,14138.7
2026-03-28T22:50:01.259776+00:00,EA4EF,IK0PHY,7090.1
2026-03-28T22:50:03.316932+00:00,LU4DPL,CE1KR,28356.0
2026-03-28T22:50:03.995016+00:00,W9KEY,HQ9UM,21277.0
2026-03-28T22:50:05.991192+00:00,N5GI,C4E,14252.0
2026-03-28T22:50:06.177428+00:00,N2WM,ZP5DNB,28392.5
2026-03-28T22:50:07.694543+00:00,HK4RAU,HK4X,14271.0
2026-03-28T22:50:11.151886+00:00,K9LC,PU2VLW,28455.0
2026-03-28T22:50:11.469163+00:00,K2RET,E7DX,14287.0
2026-03-28T22:50:14.081336+00:00,PE1EWR,IP2A,7113.1
2026-03-28T22:50:15.113186+00:00,DK1IP,SP3LPR,3626.0
2026-03-28T22:50:16.747259+00:00,AC5XK-1,AA4V,7182.5
2026-03-28T22:50:21.169989+00:00,KB3VQC,PY1FJ,14167.9
2026-03-28T22:50:21.488914+00:00,KD9GMP,BY5HB,21337.0
2026-03-28T22:50:23.767753+00:00,AF0F,8P5A,21420.7
2026-03-28T22:50:24.003784+00:00,N4XL,WA2CP,14341.1
2026-03-28T22:50:24.191862+00:00,W7ZKI,WT0O,21432.5
2026-03-28T22:50:26.380699+00:00,E76WO,YT9X,3695.4
2026-03-28T22:50:30.834666+00:00,LA4O,UW5Y,7179.0
2026-03-28T22:50:35.319732+00:00,K8UHL,N7XCZ,28473.3
2026-03-28T22:50:36.993208+00:00,AE4G,HB9EHJ,14338.0
2026-03-28T22:50:48.944105+00:00,S53F,YP8T,1880.1
2026-03-28T22:50:49.161555+00:00,S59DM,S56AA,3686.2
2026-03-28T22:50:50.423111+00:00,LU1EEP,WE9G,14080.0
2026-03-28T22:50:53.185418+00:00,N4CF,9A7V,7186.3
2026-03-28T22:50:56.861627+00:00,N4XL,N3QE,14343.2
2026-03-28T22:50:57.278667+00:00,OR7K,OP0HQ,1828.5
2026-03-28T22:51:02.923456+00:00,N2LQH,N6AR,14258.0
2026-03-28T22:51:05.785888+00:00,OE4EIE,AA4V,14249.1
2026-03-28T22:51:06.443552+00:00,Z37CPR,Z34Z,3768.2
2026-03-28T22:51:07.966275+00:00,W7XE-11,PY2WB,28382.0
2026-03-28T22:51:16.508701+00:00,EA4EF,Z32TO,7087.4
2026-03-28T22:51:17.456604+00:00,K7AKT,NE1C,21415.0
2026-03-28T22:51:18.716105+00:00,PP5KP,W1RCR,28348.0
2026-03-28T22:51:21.054092+00:00,S53F,S56B,1887.0
2026-03-28T22:51:21.792817+00:00,N4XL,CR3A,14347.2
2026-03-28T22:51:25.195288+00:00,AC1MT,PU2VLW,28455.0
2026-03-28T22:51:26.628301+00:00,YU1RA,IP0A,7131.0
2026-03-28T22:51:27.907312+00:00,2I0WMN,C4E,14252.0
2026-03-28T22:51:28.489951+00:00,WJ1U-9,3G3W,21238.0
2026-03-28T22:51:29.074114+00:00,N0GJW,JH7LRS,21387.8
2026-03-28T22:51:32.970388+00:00,NE1C-7,KF5VDX,28324.0
